Category,Motivation,Lable_num,Motivation_len,Claen_Mot,Claen_Mot_len
peace,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",4,119,press peace meetings public private understanding France Italy,62
physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",5,120,optical precision instruments spectroscopic metrological investigations carried aid,83
chemistry,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",0,108,investigations disintegration elements chemistry radioactive substances,71
literature,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",2,248,recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life,168
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",4,106,long cause peace politicians peace society leaders orators authors,66
medicine,"""in recognition of their work on immunity""",3,42,recognition immunity,20
physics,"""for his method of reproducing colours photographically based on the phenomenon of interference""",5,96,method reproducing colours photographically based phenomenon interference,73
physics,"""in recognition of their contributions to the development of wireless telegraphy""",5,81,recognition contributions development wireless telegraphy,57
medicine,"""for his work on the physiology pathology and surgery of the thyroid gland""",3,75,physiology pathology surgery thyroid gland,42
literature,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",2,113,appreciation lofty idealism vivid imagination spiritual perception characterize writings,88
chemistry,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",0,152,recognition catalysis investigations fundamental principles governing chemical equilibria rates reaction,104
peace,"""for their prominent position in the international movement for peace and arbitration""",4,86,prominent position international movement peace arbitration,59
literature,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",2,203,tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer worldrenowned short stories,147
peace,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",4,158,acting link peace societies various countries helping organize world rallies international peace movement,105
physics,"""for his work on the equation of state for gases and liquids""",5,61,equation state gases liquids,28
medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",3,139,recognition contributions knowledge cell chemistry made proteins including nucleic substances,93
chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",0,135,recognition services organic chemistry chemical industry pioneer alicyclic compounds,84
peace,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",4,128,effort expose fight considers main cause war namely anarchy international relations,83
peace,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",4,239,cofounder Institut de droit international initiator Conferences International Private Law Conférences de Droit international privé Hague pioneer international legal relations,174
physics,"""for his discoveries regarding the laws governing the radiation of heat""",5,72,discoveries regarding laws governing radiation heat,51
literature,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",2,337,appreciation manysided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals sometimes guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations,228
medicine,"""for his work on the dioptrics of the eye""",3,42,dioptrics eye,13
literature,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",2,105,primarily recognition fruitful varied outstanding production realm dramatic art,79
medicine,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",3,99,recognition vascular suture transplantation blood vessels organs,64
chemistry,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",0,182,method hydrogenating organic compounds presence finely disintegrated metals whereby progress organic chemistry greatly advanced recent years,140
chemistry,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",0,130,discovery socalled Grignard reagent recent years greatly advanced progress organic chemistry,92
physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",5,127,invention automatic regulators conjunction gas accumulators illuminating lighthouses buoys,90
peace,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",4,184,bringing better understanding countries North South initiating important arbitration agreements United States countries,119
medicine,"""in recognition of his work on anaphylaxis""",3,43,recognition anaphylaxis,23
chemistry,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",0,195,recognition linkage atoms molecules thrown light earlier investigations opened fields research especially inorganic chemistry,125
peace,"""for his unparalleled contribution to the organization of peaceful internationalism""",4,84,unparalleled contribution organization peaceful internationalism,64
literature,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",2,197,profoundly sensitive fresh beautiful verse consummate skill made poetic thought expressed English words part literature West,124
physics,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",5,128,investigations properties matter low temperatures inter alia production liquid helium,85
physics,"""for his discovery of the diffraction of X-rays by crystals""",5,60,discovery diffraction Xrays crystals,36
medicine,"""for his work on the physiology and pathology of the vestibular apparatus""",3,74,physiology pathology vestibular apparatus,41
chemistry,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",0,107,recognition accurate determinations atomic weight large number chemical elements,80
physics,"""for their services in the analysis of crystal structure by means of X-rays""",5,76,services analysis crystal structure means Xrays,47
chemistry,"""for his researches on plant pigments especially chlorophyll""",0,61,researches plant pigments especially chlorophyll,48
literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",2,161,tribute lofty idealism literary production sympathy love truth described different types human beings,101
literature,"""in recognition of his significance as the leading representative of a new era in our literature""",2,97,recognition significance leading representative era literature,62
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",4,90,efforts take care wounded soldiers prisoners war families,57
peace,"""for the great work it has performed during the war on behalf of humanity""",4,74,great performed war behalf humanity,35
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",4,83,promoting principles Geneva Convention cooperation UN,53
physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",5,80,discovery characteristic Roumlntgen radiation elements,54
literature,"""for his varied and rich poetry which is inspired by lofty ideals""",2,66,varied rich poetry inspired lofty ideals,40
literature,"""for his authentic descriptions of present-day life in Denmark""",2,63,authentic descriptions presentday life Denmark,46
physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",5,108,recognition services rendered advancement Physics discovery energy quanta,73
chemistry,"""for the synthesis of ammonia from its elements""",0,48,synthesis ammonia elements,26
peace,"""for his role as founder of the League of Nations""",4,50,founder League Nations,22
medicine,"""for his discoveries relating to immunity""",3,42,discoveries relating immunity,29
physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",5,110,discovery Doppler effect canal rays splitting spectral lines electric fields,76
literature,"""in special appreciation of his epic <I>Olympian Spring</I>""",2,60,special appreciation epic IOlympian SpringI,43
physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",5,137,recognition service rendered precision measurements Physics discovery anomalies nickel steel alloys,99
chemistry,"""in recognition of his work in thermochemistry""",0,47,recognition thermochemistry,27
medicine,"""for his discovery of the capillary motor regulating mechanism""",3,63,discovery capillary motor regulating mechanism,46
peace,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",4,138,longstanding contribution cause peace justice prominent establishment League Nations,84
literature,"""for his monumental work <I>Growth of the Soil</I>""",2,51,monumental IGrowth SoilI,24
literature,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",2,166,recognition brilliant literary achievements characterized nobility style profound human sympathy grace true Gallic temperament,126
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",4,87,lifelong contributions cause peace organized internationalism,61
physics,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",5,113,services Theoretical Physics especially discovery law photoelectric effect,74
chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",0,145,contributions knowledge chemistry radioactive substances investigations origin nature isotopes,94
physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",5,106,services investigation structure atoms radiation emanating,58
peace,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",4,152,leading repatriation prisoners war international relief League Nations High Commissioner refugees,97
chemistry,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",0,160,discovery means mass spectrograph isotopes large number nonradioactive elements enunciation wholenumber rule,108
medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",3,127,discovery fixed relationship consumption oxygen metabolism lactic acid muscle,77
literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",2,96,happy manner continued illustrious traditions Spanish drama,59
medicine,"""for his discovery relating to the production of heat in the muscle""",3,68,discovery relating production heat muscle,41
medicine,"""for the discovery of insulin""",3,30,discovery insulin,17
physics,"""for his work on the elementary charge of electricity and on the photoelectric effect""",5,86,elementary charge electricity photoelectric effect,50
chemistry,"""for his invention of the method of micro-analysis of organic substances""",0,73,invention method microanalysis organic substances,49
literature,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",2,113,always inspired poetry highly artistic form gives expression spirit whole nation,80
literature,"""for his great national epic <I>The Peasants</I>""",2,49,great national epic IThe PeasantsI,34
medicine,"""for his discovery of the mechanism of the electrocardiogram""",3,61,discovery mechanism electrocardiogram,37
physics,"""for his discoveries and research in the field of X-ray spectroscopy""",5,69,discoveries research Xray spectroscopy,38
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",5,82,discovery laws governing impact electron upon atom,50
peace,"""for his crucial role in bringing about the Locarno Treaty""",4,59,crucial bringing Locarno Treaty,31
peace,"""for his crucial role in bringing about the Dawes Plan""",4,55,crucial bringing Dawes Plan,27
chemistry,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",0,163,demonstration heterogenous nature colloid solutions methods used since become fundamental modern colloid chemistry,114
literature,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",2,133,marked idealism humanity stimulating satire often infused singular poetic beauty,80
peace,"""for their crucial role in bringing about the Locarno Treaty""",4,61,crucial bringing Locarno Treaty,31
literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",2,171,idealistically inspired writings plastic clarity picture life native island depth sympathy deal human problems general,118
medicine,"""for his discovery of the Spiroptera carcinoma""",3,47,discovery Spiroptera carcinoma,30
physics,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",5,117,discontinuous structure matter especially discovery sedimentation equilibrium,77
chemistry,"""for his work on disperse systems""",0,34,disperse systems,16
literature,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",2,109,recognition rich vitalizing ideas brilliant skill presented,59
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",4,132,contribution emergence France Germany public opinion favours peaceful international cooperation,95
physics,"""for his discovery of the effect named after him""",5,49,discovery effect named,22
physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",5,104,method making paths electrically charged particles visible condensation vapour,78
medicine,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",3,107,discovery therapeutic value malaria inoculation treatment dementia paralytica,77
chemistry,"""for his investigations of the constitution of the bile acids and related substances""",0,85,investigations constitution bile acids related substances,57
medicine,"""for his work on typhus""",3,24,typhus,6
chemistry,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",0,124,services rendered research constitution sterols connection vitamins,67
physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",5,103,thermionic phenomenon especially discovery law named,52
literature,"""principally for her powerful descriptions of Northern life during the Middle Ages""",2,83,principally powerful descriptions Northern life Middle Ages,59
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",0,80,investigations fermentation sugar fermentative enzymes,54
medicine,"""for his discovery of the antineuritic vitamin""",3,47,discovery antineuritic vitamin,30
physics,"""for his discovery of the wave nature of electrons""",5,51,discovery wave nature electrons,31
literature,"""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature""",2,153,principally great novel IBuddenbrooksI steadily increased recognition one classic works contemporary literature,111
medicine,"""for his discovery of the growth-stimulating vitamins""",3,54,discovery growthstimulating vitamins,36
peace,"""for his crucial role in bringing about the Briand-Kellogg Pact""",4,64,crucial bringing BriandKellogg Pact,35
literature,"""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters""",2,119,vigorous graphic art description ability create wit humour types characters,75
medicine,"""for his discovery of human blood groups""",3,41,discovery human blood groups,28
chemistry,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",0,111,researches constitution haemin chlorophyll especially synthesis haemin,70
peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",4,143,promoting Christian unity helping create attitude mind necessary peace nations become reality,93
physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",5,93,scattering light discovery effect named,39
medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme""",3,78,discovery nature mode action respiratory enzyme,47
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",0,106,recognition contributions invention development chemical high pressure methods,78
literature,"""The poetry of Erik Axel Karlfeldt""",2,35,poetry Erik Axel Karlfeldt,26
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",4,141,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind,78
medicine,"""for their discoveries regarding the functions of neurons""",3,58,discoveries regarding functions neurons,39
physics,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",5,136,creation quantum mechanics application inter alia discovery allotropic forms hydrogen,85
literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",2,96,distinguished art narration takes highest form IThe Forsyte SagaI,65
chemistry,"""for his discoveries and investigations in surface chemistry""",0,61,discoveries investigations surface chemistry,44
physics,"""for the discovery of new productive forms of atomic theory""",5,60,discovery productive forms atomic theory,40
peace,"""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace""",4,123,exposed pen illusion war presented convincing plea international cooperation peace,82
medicine,"""for his discoveries concerning the role played by the chromosome in heredity""",3,78,discoveries concerning played chromosome heredity,49
literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",2,104,strict artistry carried classical Russian traditions prose writing,66
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",3,68,discoveries concerning liver therapy cases anaemia,50
chemistry,"""for his discovery of heavy hydrogen""",0,37,discovery heavy hydrogen,24
literature,"""for his bold and ingenious revival of dramatic and scenic art""",2,63,bold ingenious revival dramatic scenic art,42
peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",4,122,untiring struggle courageous efforts Chairman League Nations Disarmament Conference 193134,90
chemistry,"""in recognition of their synthesis of new radioactive elements""",0,63,recognition synthesis radioactive elements,42
physics,"""for the discovery of the neutron""",5,34,discovery neutron,17
medicine,"""for his discovery of the organizer effect in embryonic development""",3,68,discovery organizer effect embryonic development,48
peace,"""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",4,112,burning love freedom thought expression valuable contribution cause peace,73
chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",0,164,contributions knowledge molecular structure investigations dipole moments diffraction Xrays electrons gases,107
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",3,75,discoveries relating chemical transmission nerve impulses,57
physics,"""for his discovery of cosmic radiation""",5,39,discovery cosmic radiation,26
physics,"""for his discovery of the positron""",5,35,discovery positron,18
peace,"""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",4,146,father Argentine Antiwar Pact 1933 also used means mediate peace Paraguay Bolivia 1935,86
literature,"""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy""",2,112,power honesty deepfelt emotions dramatic works embody original concept tragedy,78
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",5,78,experimental discovery diffraction electrons crystals,53
medicine,"""for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid""",3,146,discoveries connection biological combustion processes special reference vitamin C catalysis fumaric acid,105
chemistry,"""for his investigations on carbohydrates and vitamin C""",0,55,investigations carbohydrates vitamin C,38
peace,"""for his tireless effort in support of the League of Nations disarmament and peace""",4,83,tireless effort support League Nations disarmament peace,56
literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",2,172,artistic power truth depicted human conflict well fundamental aspects contemporary life novelcycle ILes ThibaultI,113
chemistry,"""for his investigations on carotenoids flavins and vitamins A and B2""",0,69,investigations carotenoids flavins vitamins B2,46
physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",5,183,demonstrations existence radioactive elements produced neutron irradiation related discovery nuclear reactions brought slow neutrons,132
chemistry,"""for his work on carotenoids and vitamins""",0,42,carotenoids vitamins,20
medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",3,106,discovery played sinus aortic mechanisms regulation respiration,63
peace,"""for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe""",4,92,carried Fridtjof Nansen benefit refugees across Europe,54
literature,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",2,105,rich truly epic descriptions peasant life China biographical masterpieces,73
medicine,"""for the discovery of the antibacterial effects of prontosil""",3,61,discovery antibacterial effects prontosil,41
physics,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",5,143,invention development cyclotron results obtained especially regard artificial radioactive elements,98
chemistry,"""for his work on polymethylenes and higher terpenes""",0,52,polymethylenes higher terpenes,30
chemistry,"""for his work on sex hormones""",0,30,sex hormones,12
literature,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",2,158,deep understanding countrys peasantry exquisite art portrayed way life relationship Nature,90
medicine,"""for his discovery of vitamin K""",3,32,discovery vitamin K,19
medicine,"""for his discovery of the chemical nature of vitamin K""",3,55,discovery chemical nature vitamin K,35
chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes""",0,83,isotopes tracers study chemical processes,41
physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",5,124,contribution development molecular ray method discovery magnetic moment proton,78
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",3,94,discoveries relating highly differentiated functions single nerve fibres,72
literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style""",2,160,rare strength fertility poetic imagination combined intellectual curiosity wide scope bold freshly creative style,113
chemistry,"""for his discovery of the fission of heavy nuclei""",0,50,discovery fission heavy nuclei,30
physics,"""for his resonance method for recording the magnetic properties of atomic nuclei""",5,81,resonance method recording magnetic properties atomic nuclei,60
physics,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",5,78,discovery Exclusion Principle also called Pauli Principle,57
literature,"""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world""",2,150,lyric poetry inspired powerful emotions made name symbol idealistic aspirations entire Latin American world,107
chemistry,"""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""",0,119,research inventions agricultural nutrition chemistry especially fodder preservation method,90
peace,"""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations""",4,116,indefatigable international understanding pivotal establishing United Nations,77
medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",3,88,discovery penicillin curative effect various infectious diseases,64
peace,"""for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries""",4,108,contribution creation peacepromoting religious brotherhood across national boundaries,85
physics,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""",5,151,invention apparatus produce extremely high pressures discoveries made therewith high pressure physics,101
chemistry,"""for his discovery that enzymes can be crystallized""",0,52,discovery enzymes crystallized,30
chemistry,"""for their preparation of enzymes and virus proteins in a pure form""",0,68,preparation enzymes virus proteins pure form,44
medicine,"""for the discovery of the production of mutations by means of X-ray irradiation""",3,80,discovery production mutations means Xray irradiation,53
peace,"""for her lifelong work for the cause of peace""",4,46,lifelong cause peace,20
literature,"""for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style""",2,147,inspired writings growing boldness penetration exemplify classical humanitarian ideals high qualities style,107
medicine,"""for their discovery of the course of the catalytic conversion of glycogen""",3,75,discovery course catalytic conversion glycogen,46
medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",3,111,discovery part played hormone anterior pituitary lobe metabolism sugar,70
physics,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",5,124,investigations physics upper atmosphere especially discovery socalled Appleton layer,84
literature,"""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",2,181,comprehensive artistically significant writings human problems conditions presented fearless love truth keen psychological insight,130
chemistry,"""for his investigations on plant products of biological importance especially the alkaloids""",0,92,investigations plant products biological importance especially alkaloids,72
peace,"""for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations""",4,164,pioneering international peace movement compassionate effort relieve human suffering thereby promoting fraternity nations,121
